Symbol,Shares,Trade Price,Trade Date,Shares Outstanding,Open Price,Close Price,Avg daily Volume,Side,Broker
ELLI ,20140,40.2025,12/2/2014,28872390.43,39.85,40.37,162874,buy,Dilbert
ELNK ,144997,4.416923,12/2/2014,102186977.2,4.39,4.44,954602,buy,Dilbert
ELP  ,15695,13.404732,12/2/2014,126563236.2,13.29,13.48,876809,buy,Dilbert
ELRC ,4400,13.8445,12/2/2014,25405890.43,14.6,14.6,24601,buy,Dilbert
ELS  ,117776,49.533353,12/2/2014,83802297.57,49.32,49.74,260812,buy,Dilbert
ELS.P,1000,26.5,12/2/2014,5396677.736,26.32,26.49,800,buy,Dilbert
ELUXY,1480,59.210565,12/2/2014,153682866.8,99,99,992413,buy,Dilbert
ELX  ,74700,5.402048,12/2/2014,71519813.45,5.34,5.46,937952,buy,Dilbert
ELY  ,8578,7.198962,12/2/2014,77261540.36,7.17,7.25,344805,buy,Dilbert
EMB  ,501,112.703333,12/2/2014,46294523.67,112.68,112.71,2422825,buy,Dilbert
EMC  ,594121,30.224704,12/2/2014,2039321690,30.02,30.34,8420304,buy,Dilbert
EMD  ,667,11.726675,12/2/2014,28735799.84,11.72,11.74,111388,buy,Dilbert
EME  ,6677,42.838163,12/2/2014,64056400.09,42.29,43.11,359391,buy,Dilbert
EMES ,950,56.952261,12/2/2014,23328857.9,56.62,58.0701,913162,buy,Dilbert
EMKR ,30800,5.149763,12/2/2014,31092943.49,5.15,5.15,75505,buy,Dilbert
EML  ,1000,17,12/2/2014,6224000,17,17,13491,buy,Dilbert
EMLC ,100,22.22,12/2/2014,41038703.87,22.22,22.22,2850799,buy,Dilbert
EMN  ,282516,82.978356,12/2/2014,147068106.3,82.57,83.796,1264366,buy,Dilbert
EMR  ,219694,63.327768,12/2/2014,688023031.6,62.58,63.8,3091586,buy,Dilbert
EMXX ,500,0.79,12/2/2014,72154777.22,0.79,0.79,28400,buy,Dilbert
ENB  ,48798,46.091767,12/2/2014,844333217.6,45.63,46.44,4020621,buy,Dilbert
ENBL ,1000,20.5226,12/2/2014,218083028.4,20.09,24.1475,316657,buy,Dilbert
ENDP ,159953,70.631092,12/2/2014,155259302.3,70.31,71.85,1285204,buy,Dilbert
ENGGY,261,16.663333,12/2/2014,480096360.2,99,99,2702977,buy,Dilbert
ENH  ,6912,58.49748,12/2/2014,44630081.7,58.32,58.54,126234,buy,Dilbert
ENI  ,626415,16.474094,12/2/2014,975484650.2,15.65,16.58,1136426,buy,Dilbert
ENL  ,9853,48.791761,12/2/2014,372372767.4,48.69,48.93,2075160,buy,Dilbert
ENLAY,32628,4.706256,12/2/2014,9562187934,99,99,42756860,buy,Dilbert
ENLC ,1828,33.295882,12/2/2014,162962504.6,32.84,33.76,314095,buy,Dilbert
ENLK ,400,27.7225,12/2/2014,240111356.1,27.65,27.81,621881,buy,Dilbert
ENOC ,21799,14.369922,12/2/2014,28486924.58,14,14.57,330315,buy,Dilbert
ENPH ,427,11.595,12/2/2014,39505489.67,11.57,11.69,767268,buy,Dilbert
ENR  ,280858,131.164637,12/2/2014,62031867.16,130.26,131.86,607430,buy,Dilbert
ENS  ,82828,59.765338,12/2/2014,46149358.27,59.7699,61.81,359642,buy,Dilbert
ENSG ,3386,39.597319,12/2/2014,22384775.56,39.2,39.85,115445,buy,Dilbert
ENT  ,3418,13.502217,12/2/2014,74102235.65,13.09,13.59,455456,buy,Dilbert
ENTA ,7904,44.87048,12/2/2014,18422019.18,44.57,45.56,290898,buy,Dilbert
ENTG ,86738,13.570268,12/2/2014,138059277.7,13.45,13.6,638276,buy,Dilbert
ENTR ,41787,2.377133,12/2/2014,87159094.13,2.32,2.42,493388,buy,Dilbert
ENV  ,94986,50.505836,12/2/2014,33685376.89,46.59,54.65,200939,buy,Dilbert
ENVA ,394971,22.655203,12/2/2014,33145077.1,22.46,24.19,507096,buy,Dilbert
ENZ  ,1081468,4.491056,12/2/2014,41553801.42,4.27,4.43,325145,buy,Dilbert
EOC  ,2730,44.39,12/2/2014,274712517,44.37,44.65,124971,buy,Dilbert
